movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,average_rating,rating_std,number_of_ratings
1,Toy Story (1995),0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,3.9209302325581397,0.8348591407114044,215
2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,3.4318181818181817,0.8817134921476453,110
3,Grumpier Old Men (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,3.2596153846153846,1.0548226531330254,52
4,Waiting to Exhale (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,2.357142857142857,0.8521681032463467,7
5,Father of the Bride Part II (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.0714285714285716,0.9071475440448852,49
6,Heat (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,3.946078431372549,0.8172244221533347,102
7,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,3.185185185185185,0.9775609631923282,54
8,Tom and Huck (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2.875,1.1259916264596033,8
9,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.125,0.9746794344808964,16
10,GoldenEye (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,3.496212121212121,0.8593806844280277,132
11,"American President, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,3.6714285714285713,0.9004254802862112,70
12,Dracula: Dead and Loving It (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,2.4210526315789473,1.2501461902817699,19
13,Balto (1995),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.125,0.6408699444616557,8
14,Nixon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,3.8333333333333335,0.7071067811865476,18
15,Cutthroat Island (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,3.0,1.20761472884912,13
16,Casino (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,3.926829268292683,0.8858348619181693,82
17,Sense and Sensibility (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,3.7761194029850746,1.1457549518851469,67
18,Four Rooms (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3.7,0.9090191359227177,20
19,Ace Ventura: When Nature Calls (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2.727272727272727,1.0637957708161232,88
20,Money Train (1995),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1995,2.5,0.9819805060619657,15
21,Get Shorty (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,3.49438202247191,0.8676456585288979,89
22,Copycat (1995),0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1995,3.2222222222222223,0.8232726023485646,36
23,Assassins (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,3.125,1.118033988749895,16
24,Powder (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1995,3.125,1.0149347725802838,28
25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,3.625,1.1169153951844337,76
26,Othello (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,3.5,0.6123724356957942,13
27,Now and Then (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,3.3333333333333335,1.1989578808281798,9
28,Persuasion (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,4.2272727272727275,0.7862453931068965,11
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1995,4.0131578947368425,0.8259870598526934,38
